"z","locations","text"
"8.29","NER","Niger"
"0.01","NIU","Niue"
"1.23","MNP","Northern Mariana Islands"
"511.6","NOR","Norway"
"80.54","OMN","Oman"
"237.5","PAK","Pakistan"
"0.65","PLW","Palau"
"44.69","PAN","Panama"
"16.1","PNG","Papua New Guinea"
"31.3","PRY","Paraguay"
"208.2","PER","Peru"
"284.6","PHL","Philippines"
"552.2","POL","Poland"
"228.2","PRT","Portugal"
"93.52","PRI","Puerto Rico"
"212.0","QAT","Qatar"
"199.0","ROU","Romania"
"2057.0","RUS","Russia"
"8.0","RWA","Rwanda"
"0.81","KNA","Saint Kitts and Nevis"
"1.35","LCA","Saint Lucia"
"0.56","MAF","Saint Martin"
"0.22","SPM","Saint Pierre and Miquelon"
"0.75","VCT","Saint Vincent and the Grenadines"
"0.83","WSM","Samoa"
"1.86","SMR","San Marino"
"0.36","STP","Sao Tome and Principe"
"777.9","SAU","Saudi Arabia"
"15.88","SEN","Senegal"
"42.65","SRB","Serbia"
"1.47","SYC","Seychelles"
"5.41","SLE","Sierra Leone"
"307.9","SGP","Singapore"
"304.1","SXM","Sint Maarten"
"99.75","SVK","Slovakia"
"49.93","SVN","Slovenia"
"1.16","SLB","Solomon Islands"
"2.37","SOM","Somalia"
"341.2","ZAF","South Africa"
"11.89","SSD","South Sudan"
"1400.0","ESP","Spain"
"71.57","LKA","Sri Lanka"
"70.03","SDN","Sudan"
"5.27","SUR","Suriname"
"3.84","SWZ","Swaziland"
"559.1","SWE","Sweden"
"679.0","CHE","Switzerland"
"64.7","SYR","Syria"
"529.5","TWN","Taiwan"
"9.16","TJK","Tajikistan"
"36.62","TZA","Tanzania"
"373.8","THA","Thailand"
"4.51","TLS","Timor-Leste"
"4.84","TGO","Togo"
"0.49","TON","Tonga"
"29.63","TTO","Trinidad and Tobago"
"49.12","TUN","Tunisia"
"813.3","TUR","Turkey"
"43.5","TKM","Turkmenistan"
"0.04","TUV","Tuvalu"
"26.09","UGA","Uganda"
"134.9","UKR","Ukraine"
"416.4","ARE","United Arab Emirates"
"2848.0","GBR","United Kingdom"
"17420.0","USA","United States"
"55.6","URY","Uruguay"
"63.08","UZB","Uzbekistan"
"0.82","VUT","Vanuatu"
"209.2","VEN","Venezuela"
"187.8","VNM","Vietnam"
"5.08","VGB","Virgin Islands"
"6.64","WBG","West Bank"
"45.45","YEM","Yemen"
"25.61","ZMB","Zambia"
"13.74","ZWE","Zimbabwe"
